cadmium,aluminium,chromium,perchlorate,chloramine,arsenic,viruses,radium,lead,uranium,nitrites,barium,flouride,ammonia,selenium,bacteria,silver,is_safe
0.001,3.79,0.03,37.64,6.81,0.01,0.61,6.56,0.059,0.05,1.91,2.9,0.21,17.82,0.1,0.61,0.06,0
0.001,4.74,0.82,28.2,2.55,0.02,0.006,7.31,0.072,0.06,1.27,1.6,0.92,18.82,0.06,0.14,0.42,1
0.08,4.76,0.82,11.06,1.66,0.61,0.002,2.54,0.01,0.07,1.64,3.94,1.29,26.3,0.08,0.0,0.44,0
0.06,0.07,0.08,0.98,0.25,0.02,0.97,4.86,0.1,0.0,0.67,0.81,0.8,8.09,0.05,0.0,0.01,0
0.005,0.01,0.13,13.59,2.71,0.001,0.5,4.78,0.194,0.02,1.49,1.6,1.1,14.2,0.05,0.5,0.05,1
0.002,3.72,0.71,14.97,1.96,0.04,0.0,0.6,0.019,0.03,1.8,1.24,0.54,2.48,0.09,0.0,0.13,1
0.004,0.08,0.54,23.58,0.0,0.03,0.001,7.03,0.124,0.0,1.1,2.54,0.54,15.18,0.03,0.31,0.08,0
0.001,4.77,0.3,15.47,2.4,0.02,0.97,4.89,0.086,0.01,1.11,2.09,1.34,23.72,0.04,0.97,0.21,1
0.08,0.0,0.04,5.81,0.01,0.06,0.001,0.38,0.117,0.02,1.3,0.89,0.61,23.32,0.02,0.13,0.09,0
0.02,3.81,0.11,33.04,1.19,0.82,0.5,5.52,0.038,0.09,1.37,3.99,1.06,23.79,0.06,0.5,0.42,0
0.008,1.19,0.18,38.31,0.13,0.01,0.004,5.41,0.162,0.0,1.36,0.75,0.3,25.95,0.01,0.18,0.32,1
0.09,0.0,0.04,4.74,0.05,0.06,0.008,0.4,0.049,0.05,0.45,0.09,0.96,10.19,0.01,0.0,0.02,1
0.003,0.08,0.63,36.15,0.54,0.04,0.008,1.83,0.042,0.02,1.95,0.82,1.37,23.51,0.07,0.09,0.03,1
0.05,0.07,0.08,4.12,0.3,0.01,0.007,1.05,0.146,0.01,0.27,0.49,0.52,14.0,0.07,0.0,0.01,1
0.005,1.39,0.24,55.57,6.77,0.05,0.89,3.62,0.12,0.03,1.12,3.96,0.35,19.96,0.07,0.89,0.23,0
0.008,3.63,0.16,39.03,7.02,0.03,0.69,6.3,0.104,0.08,1.31,3.45,0.2,27.81,0.03,0.69,0.25,0
0.002,2.67,0.75,42.42,3.82,0.04,0.0,5.34,0.04,0.06,1.65,3.38,0.18,7.23,0.04,0.0,0.03,1
0.006,0.47,0.05,23.76,5.09,0.04,0.0,2.12,0.108,0.01,1.84,1.25,1.29,28.38,0.07,0.0,0.07,1
0.006,1.32,0.38,26.53,3.98,0.02,0.0,4.07,0.184,0.08,1.21,0.96,0.92,0.71,0.04,0.0,0.11,1
0.01,0.02,0.05,0.17,0.51,0.06,0.63,0.34,0.122,0.01,1.72,0.58,0.79,2.56,0.07,0.63,0.02,0
0.005,2.35,0.47,25.81,7.24,0.03,0.004,0.45,0.093,0.05,1.0,1.13,0.82,6.92,0.03,0.29,0.3,1
0.004,0.03,0.48,15.5,7.49,0.04,0.0,4.59,0.072,0.06,1.18,3.3,0.88,9.43,0.1,0.0,0.39,1
0.06,0.03,0.05,0.3,0.35,0.07,0.002,5.4,0.125,0.04,1.22,0.12,0.4,7.75,0.01,0.02,0.08,0
0.03,3.77,0.48,38.67,3.17,0.54,0.008,3.92,0.056,0.02,1.75,1.99,1.2,9.64,0.06,0.0,0.1,1
0.08,0.03,0.0,3.76,0.01,0.09,0.003,0.8,0.139,0.08,0.32,2.11,0.63,0.75,0.1,0.44,0.04,0
0.05,0.07,0.41,55.99,4.78,0.71,0.5,3.48,0.18,0.02,2.09,3.12,0.33,27.55,0.0,0.5,0.42,0
0.001,4.75,0.35,9.56,6.36,0.04,0.0,7.9,0.126,0.06,1.22,2.4,0.54,14.91,0.02,0.0,0.17,1
0.05,0.09,0.01,7.56,0.09,0.03,0.003,0.32,0.135,0.02,2.0,3.87,0.25,5.45,0.09,0.04,0.08,0
0.008,1.92,0.42,24.53,1.58,0.05,0.0,2.88,0.103,0.0,1.7,0.39,1.07,23.86,0.03,0.19,0.46,1
0.03,0.06,0.23,8.68,6.25,0.46,0.79,4.29,0.049,0.0,1.46,3.7,1.16,21.74,0.07,0.79,0.08,1
0.09,4.62,0.39,11.62,5.45,0.41,0.76,6.31,0.022,0.06,2.05,2.85,0.3,17.24,0.09,0.76,0.35,0
0.008,0.44,0.38,12.7,4.37,0.01,0.0,3.56,0.053,0.05,1.65,0.06,0.78,1.84,0.01,0.0,0.33,1
0.008,0.01,0.82,49.56,2.88,0.02,0.009,4.35,0.111,0.03,1.07,1.99,0.05,17.88,0.05,0.45,0.38,0
0.006,0.28,0.2,45.83,3.65,0.04,0.94,4.64,0.049,0.02,1.77,2.68,0.13,17.23,0.04,0.94,0.05,1
0.0,0.04,0.09,7.13,0.18,0.09,0.003,2.36,0.02,0.07,0.48,1.04,1.49,12.51,0.04,0.0,0.04,0
0.008,1.92,0.16,15.3,1.87,0.03,0.76,4.8,0.198,0.02,1.33,1.11,0.04,19.73,0.06,0.76,0.41,1
0.003,3.52,0.54,12.23,1.07,0.02,0.0,2.42,0.067,0.0,1.31,2.77,1.03,23.9,0.05,0.0,0.23,1
0.002,1.35,0.76,21.52,0.1,0.04,0.52,1.3,0.011,0.08,1.49,0.84,0.58,21.96,0.08,0.52,0.48,1
0.009,4.5,0.59,15.98,3.61,0.02,0.52,4.47,0.197,0.08,1.45,1.72,0.28,14.44,0.06,0.52,0.02,1
0.0,0.09,0.04,12.29,0.45,0.04,0.97,0.69,0.017,0.06,0.2,0.51,0.63,28.54,0.04,0.0,0.0,0
0.006,4.27,0.21,14.92,6.5,0.04,0.0,5.87,0.145,0.07,1.57,2.91,0.82,5.39,0.02,0.0,0.21,1
0.0,0.07,0.04,5.09,0.03,0.0,0.006,1.69,0.176,0.05,1.15,0.42,1.39,11.01,0.03,0.07,0.07,0
0.07,4.62,0.65,19.94,3.08,0.23,0.97,1.27,0.163,0.06,1.24,1.16,0.49,22.86,0.01,0.97,0.15,0
0.001,0.38,0.04,41.93,1.64,0.04,0.005,3.5,0.141,0.09,1.78,1.05,0.47,3.92,0.01,0.28,0.47,0
0.006,2.24,0.64,12.64,5.6,0.03,0.0,4.39,0.174,0.07,1.79,0.18,1.05,9.56,0.06,0.0,0.34,1
0.1,0.02,0.01,4.36,0.13,0.05,0.009,3.68,0.046,0.0,1.37,0.2,1.31,6.16,0.02,0.15,0.01,0
0.008,3.89,0.04,51.76,1.26,0.01,0.003,0.99,0.062,0.08,1.98,2.28,0.77,1.05,0.08,0.24,0.49,1
0.004,2.56,0.33,15.96,5.48,0.03,0.74,7.08,0.119,0.01,1.94,2.16,1.41,28.59,0.06,0.74,0.14,1
0.1,1.97,0.02,56.51,1.31,0.53,0.83,4.18,0.079,0.08,1.67,1.87,0.33,14.84,0.08,0.0,0.18,0
0.03,0.04,0.02,0.43,0.08,0.06,0.002,0.12,0.089,0.05,0.63,1.79,0.04,11.47,0.06,0.0,0.04,1
0.003,3.6,0.08,32.55,1.44,0.03,0.008,5.78,0.011,0.07,1.8,1.92,0.65,8.24,0.08,0.39,0.04,1
0.01,0.06,0.05,6.18,0.2,0.03,0.007,1.7,0.033,0.05,0.55,0.48,0.43,27.63,0.01,0.0,0.0,1
0.09,0.02,0.1,3.38,0.04,0.02,0.002,0.17,0.197,0.03,0.62,0.42,1.37,27.44,0.09,0.31,0.06,0
0.12,2.13,0.52,51.78,1.3,0.76,0.61,0.05,0.04,0.02,1.88,2.6,0.59,25.11,0.03,0.0,0.05,1
0.07,0.05,0.06,1.5,0.08,0.06,0.65,1.6,0.1,0.05,0.83,1.26,0.9,20.99,0.08,0.65,0.07,0
0.007,3.18,0.31,49.72,6.3,0.04,0.002,5.19,0.132,0.02,1.09,0.79,0.96,19.59,0.02,0.14,0.0,0
0.04,0.09,0.02,0.99,0.18,0.1,0.65,3.2,0.168,0.0,0.39,0.57,0.84,24.77,0.05,0.65,0.08,0
0.01,0.06,0.04,0.21,0.09,0.05,0.0,2.25,0.17,0.06,1.93,3.01,0.31,0.97,0.04,0.0,0.09,0
0.002,0.93,0.88,28.71,5.34,0.05,0.83,0.9,0.184,0.07,1.52,3.52,1.05,20.28,0.07,0.83,0.04,1
0.001,0.06,0.36,32.15,4.16,0.03,0.55,7.43,0.093,0.05,1.78,3.01,0.74,16.45,0.09,0.55,0.09,0
0.001,1.79,0.14,28.26,7.99,0.03,0.64,7.43,0.096,0.04,1.38,0.34,0.25,15.41,0.06,0.64,0.08,1
0.001,1.41,0.12,36.39,5.79,0.02,0.0,4.33,0.16,0.07,1.37,3.34,0.33,3.42,0.02,0.0,0.39,1
0.007,2.99,0.72,34.97,0.67,0.03,0.72,6.83,0.089,0.03,1.12,3.04,0.19,21.68,0.01,0.72,0.25,1
0.007,4.39,0.19,33.56,3.99,0.03,0.85,1.46,0.005,0.08,1.2,0.54,1.16,15.46,0.09,0.85,0.23,1
0.06,0.02,0.08,5.0,0.06,0.01,0.005,0.66,0.049,0.04,1.96,0.37,0.45,12.91,0.09,0.03,0.08,0
0.07,4.81,0.58,39.46,6.53,0.77,0.52,0.82,0.176,0.08,1.85,2.07,1.22,20.5,0.01,0.52,0.47,0
0.03,0.0,0.09,9.71,0.47,0.06,0.002,0.84,0.065,0.06,0.39,0.39,1.14,0.42,0.02,0.0,0.02,1
0.07,0.07,0.08,3.05,0.02,0.04,0.0,4.51,0.011,0.07,1.81,0.26,0.94,16.55,0.0,0.92,0.03,0
0.05,0.02,0.09,1.64,0.06,0.04,0.008,1.58,0.108,0.08,0.9,0.33,1.4,27.85,0.02,0.0,0.01,1
0.06,0.57,0.11,26.29,7.36,0.29,0.003,5.65,0.076,0.05,1.36,2.16,1.05,0.3,0.07,0.38,0.38,0
0.004,0.05,0.04,43.22,4.78,0.04,0.005,3.1,0.013,0.01,1.55,0.31,0.2,1.94,0.01,0.45,0.01,1
0.003,2.56,0.03,42.15,3.42,0.04,0.001,4.39,0.108,0.07,1.58,3.45,1.12,1.36,0.02,0.1,0.11,1
0.001,0.05,0.03,43.79,4.08,0.03,0.6,0.56,0.061,0.03,1.16,0.3,1.24,10.11,0.06,0.6,0.21,0
0.06,0.06,0.07,1.03,0.2,0.06,0.008,0.99,0.088,0.02,1.99,0.12,0.82,19.75,0.05,0.48,0.0,0
0.006,2.8,0.29,24.98,3.67,0.04,0.005,0.74,0.012,0.08,1.02,0.12,0.27,23.13,0.07,0.2,0.45,1
0.06,4.41,0.87,52.31,7.12,0.87,0.001,0.99,0.137,0.05,1.66,2.09,0.03,9.74,0.0,0.0,0.07,0
0.09,0.03,0.07,3.18,0.33,0.05,0.75,0.69,0.153,0.07,1.99,0.58,0.01,11.87,0.01,0.75,0.06,0
0.09,0.1,0.1,6.56,0.27,0.03,0.007,1.59,0.033,0.05,0.34,0.76,0.43,27.79,0.01,0.0,0.09,1
0.06,0.03,0.55,19.07,7.33,0.23,0.008,5.57,0.001,0.05,2.01,1.9,0.59,27.61,0.04,0.18,0.03,0
0.08,0.09,0.06,2.22,0.4,0.1,0.009,0.33,0.137,0.02,0.19,0.03,1.03,23.35,0.06,0.0,0.07,0
0.005,2.01,0.52,10.95,4.56,0.04,0.003,5.13,0.129,0.08,1.14,1.78,1.3,3.43,0.07,0.12,0.44,1
0.001,0.11,0.21,14.71,6.99,0.04,0.63,4.66,0.122,0.01,1.72,0.66,0.79,3.54,0.07,0.63,0.28,1
0.002,1.65,0.82,38.27,3.42,0.04,0.63,5.9,0.124,0.02,1.61,0.72,0.45,4.96,0.05,0.63,0.45,1
0.06,0.08,0.09,0.15,0.14,0.08,0.55,0.7,0.073,0.04,0.68,0.3,1.4,20.47,0.04,0.0,0.1,0
0.006,0.25,0.86,19.09,3.25,0.03,0.008,4.23,0.03,0.04,1.68,3.15,0.59,2.5,0.08,0.25,0.39,0
0.0,0.02,0.08,0.62,0.07,0.05,0.62,0.45,0.024,0.03,1.58,1.38,0.03,9.0,0.02,0.62,0.03,0
0.08,2.83,0.32,58.03,3.14,0.64,0.009,6.05,0.001,0.08,1.82,3.0,1.16,26.13,0.07,0.0,0.36,0
0.002,4.96,0.01,21.71,6.39,0.02,0.0,0.22,0.174,0.09,1.1,3.7,1.14,5.38,0.04,0.0,0.06,1
0.001,3.77,0.79,40.75,2.34,0.04,0.0,4.73,0.155,0.09,1.86,3.51,0.73,17.25,0.07,0.0,0.49,0
0.008,4.56,0.12,31.89,1.33,0.03,0.0,1.2,0.149,0.07,1.6,3.44,1.04,26.79,0.02,0.0,0.4,0
0.001,0.73,0.71,33.58,5.92,0.04,0.004,3.57,0.011,0.05,1.29,2.93,0.95,22.36,0.03,0.19,0.01,0
0.05,0.01,0.04,0.84,0.53,0.05,0.004,0.36,0.099,0.09,1.89,0.35,1.07,0.76,0.09,0.35,0.06,0
0.06,0.05,0.06,0.75,0.35,0.05,0.66,1.88,0.124,0.02,1.47,1.22,0.17,8.05,0.07,0.66,0.02,0
0.03,0.02,0.03,1.55,0.05,0.1,0.72,1.4,0.089,0.03,1.6,0.82,0.19,10.57,0.01,0.72,0.03,0
0.07,0.04,0.04,0.49,0.14,0.04,0.0,2.37,0.044,0.03,1.9,1.0,0.1,20.87,0.04,0.0,0.09,0
0.001,3.79,0.6,19.26,3.96,0.04,0.001,4.13,0.165,0.01,1.21,3.89,0.84,19.33,0.01,0.15,0.48,1
0.11,2.82,0.54,29.2,5.79,0.47,0.94,4.31,0.006,0.01,2.04,1.55,0.56,-0.01,0.01,0.0,0.06,1
0.01,0.01,0.04,0.04,0.2,0.06,0.003,0.98,0.051,0.08,0.83,0.46,0.97,24.68,0.04,0.0,0.03,1
0.001,0.65,0.37,16.85,5.17,0.001,0.005,0.67,0.156,0.06,1.22,3.72,1.39,13.96,0.03,0.3,0.21,1
0.05,0.1,0.06,0.21,0.72,0.08,0.003,0.92,0.092,0.07,0.2,0.64,1.44,17.04,0.02,0.0,0.04,1
0.008,0.1,0.65,44.03,2.58,0.04,0.98,6.19,0.191,0.07,1.05,3.57,1.16,28.24,0.03,0.98,0.17,0
0.006,2.2,0.85,25.43,0.76,0.04,0.58,0.59,0.154,0.04,1.79,1.37,1.47,8.07,0.0,0.58,0.33,1
0.006,2.45,0.24,37.13,0.71,0.001,0.6,6.87,0.072,0.0,1.12,1.86,0.83,4.24,0.06,0.6,0.3,1
0.007,2.65,0.82,9.72,4.08,0.001,0.53,0.23,0.057,0.01,1.35,2.26,1.27,14.39,0.07,0.53,0.42,1
0.03,0.03,0.51,45.08,8.33,0.26,0.001,0.0,0.165,0.06,1.97,1.32,0.46,3.24,0.05,0.22,0.04,0
0.08,0.05,0.01,7.39,0.7,0.05,0.003,0.08,0.092,0.07,0.89,0.77,1.44,16.94,0.02,0.0,0.08,1
0.03,0.0,0.06,4.61,0.32,0.0,0.005,0.08,0.147,0.0,0.68,0.57,0.54,17.02,0.0,0.0,0.03,1
0.002,3.2,0.45,25.84,4.24,0.01,0.0,6.28,0.007,0.08,1.3,3.25,1.05,1.54,0.01,0.0,0.42,1
0.008,3.73,0.69,40.92,1.87,0.04,0.66,6.53,0.099,0.09,1.67,0.17,0.75,4.69,0.02,0.66,0.07,1
0.004,0.07,0.08,2.59,2.14,0.01,0.7,4.98,0.018,0.01,1.7,0.18,0.92,26.26,0.03,0.7,0.3,0
0.005,0.91,0.04,11.52,4.79,0.01,0.0,6.12,0.015,0.04,1.46,1.03,0.07,8.09,0.03,0.0,0.36,1
0.001,0.57,0.63,16.39,7.02,0.04,0.75,6.81,0.166,0.07,1.66,1.81,1.43,12.12,0.08,0.75,0.49,1
0.001,1.09,0.85,44.66,1.26,0.01,0.007,2.67,0.141,0.08,1.43,2.16,1.04,28.84,0.05,0.08,0.35,0
0.07,0.08,0.07,4.17,0.07,0.03,0.002,0.79,0.123,0.06,0.16,0.63,0.04,0.57,0.07,0.0,0.0,0
0.04,0.04,0.49,38.73,6.52,0.25,0.58,5.8,0.093,0.05,1.47,1.85,0.9,8.53,0.05,0.58,0.24,0
0.05,0.06,0.06,2.93,0.02,0.05,0.0,1.84,0.113,0.0,1.62,0.15,0.33,0.35,0.02,0.0,0.07,0
0.05,0.0,0.1,1.44,0.02,0.01,0.66,5.38,0.144,0.05,1.63,0.1,0.14,21.07,0.02,0.66,0.06,0
0.02,0.05,0.06,0.23,0.49,0.04,0.009,3.55,0.156,0.02,0.23,0.21,0.99,17.54,0.01,0.05,0.04,0
0.006,0.08,0.53,42.43,1.8,0.01,0.003,1.67,0.079,0.09,1.8,3.38,1.26,6.58,0.01,0.03,0.12,0
0.07,0.06,0.29,14.0,8.13,0.37,0.64,0.79,0.154,0.0,2.08,3.55,0.57,3.8,0.04,0.64,0.03,1
0.002,0.01,0.48,36.49,2.83,0.001,0.008,3.92,0.056,0.02,1.34,1.34,1.2,9.74,0.06,0.36,0.1,1
0.005,3.03,0.41,48.78,7.81,0.01,0.52,2.95,0.095,0.02,1.74,3.92,0.61,13.84,0.01,0.52,0.12,0
0.05,0.09,0.06,5.76,0.0,0.01,0.83,5.58,0.105,0.05,0.51,0.4,1.21,17.87,0.04,0.0,0.03,0
0.02,2.72,0.31,54.41,3.16,0.05,0.0,6.11,0.105,0.05,2.36,1.01,1.21,18.69,0.04,0.0,0.34,0
0.01,0.09,0.06,0.81,0.04,0.09,0.69,0.96,0.121,0.03,0.92,0.13,1.15,14.47,0.1,0.0,0.02,0
0.005,2.39,0.23,21.22,0.98,0.02,0.98,3.24,0.156,0.0,1.09,1.14,0.37,14.48,0.05,0.98,0.44,1
0.04,4.95,0.2,8.79,0.4,0.4,0.61,3.55,0.127,0.03,2.22,4.29,0.24,10.96,0.07,0.61,0.04,1
0.002,2.59,0.07,46.13,6.45,0.001,0.79,2.35,0.118,0.06,1.97,1.99,1.5,5.8,0.01,0.79,0.31,0
0.007,4.35,0.02,22.42,3.21,0.02,0.0,4.13,0.008,0.04,1.98,1.92,0.74,0.13,0.0,0.0,0.06,1
0.004,3.37,0.68,19.33,1.36,0.05,0.003,1.31,0.102,0.04,1.48,2.36,1.4,18.41,0.01,0.28,0.18,1
0.11,0.08,0.7,15.35,0.37,0.51,0.004,5.87,0.128,0.02,1.59,0.51,0.76,5.04,0.05,0.23,0.3,0
0.08,0.05,0.06,5.61,0.44,0.09,0.78,3.29,0.163,0.08,1.75,0.73,0.76,21.4,0.03,0.78,0.02,0
0.009,1.28,0.03,9.13,7.85,0.04,0.54,1.6,0.048,0.05,1.83,1.01,0.66,27.62,0.02,0.54,0.21,1
0.13,2.46,0.73,19.52,6.3,1.02,0.88,3.24,0.183,0.07,2.05,3.6,0.27,23.16,0.06,0.88,0.09,0
0.12,1.6,0.03,11.71,7.76,0.2,0.005,2.42,0.033,0.02,1.94,3.41,1.38,11.2,0.09,0.26,0.26,0
0.05,0.09,0.03,4.55,0.08,0.01,0.002,1.0,0.071,0.02,1.71,0.38,1.02,9.66,0.04,0.39,0.08,0
0.007,3.59,0.24,27.6,4.84,0.01,0.005,0.41,0.049,0.04,1.96,0.43,0.45,13.81,0.09,0.03,0.39,1
0.003,2.33,0.51,31.59,2.01,0.01,0.001,4.31,0.072,0.08,1.24,1.78,0.74,16.23,0.09,0.48,0.28,1
0.12,1.9,0.78,0.37,7.75,0.94,0.004,7.97,0.055,0.05,2.0,2.85,0.03,26.84,0.09,0.23,0.21,0
0.006,1.55,0.85,25.24,0.21,0.01,0.53,6.53,0.183,0.05,1.21,1.19,0.34,0.03,0.07,0.53,0.27,1
0.01,0.01,0.09,8.59,0.03,0.07,0.76,3.48,0.11,0.04,1.68,0.97,0.66,20.84,0.08,0.76,0.06,0
0.09,0.08,0.07,7.38,0.03,0.06,0.0,0.62,0.16,0.08,1.25,1.37,1.26,0.28,0.01,0.0,0.06,0
0.007,0.95,0.82,47.65,4.9,0.01,0.0,3.18,0.126,0.08,1.6,2.8,0.33,29.47,0.05,0.17,0.12,0
0.01,3.77,0.71,48.82,2.13,0.28,0.005,0.6,0.019,0.03,1.85,1.71,0.54,2.38,0.09,0.11,0.13,0
0.008,1.44,0.13,48.1,3.49,0.03,0.004,5.64,0.105,0.08,1.11,2.83,0.46,3.07,0.09,0.37,0.15,1
0.001,0.53,0.26,29.27,1.51,0.001,0.002,5.69,0.165,0.06,1.07,2.19,0.99,4.86,0.02,0.42,0.28,1
0.06,0.04,0.08,0.56,0.06,0.1,0.94,0.48,0.166,0.07,0.37,0.77,1.4,15.11,0.09,0.94,0.05,0
0.12,0.78,0.16,0.8,5.44,0.21,0.87,2.74,0.143,0.02,2.32,2.12,0.12,16.88,0.07,0.87,0.24,0
0.005,2.04,0.7,24.13,5.98,0.03,0.94,0.85,0.128,0.03,1.54,1.79,1.36,22.26,0.07,0.94,0.36,1
0.003,1.01,0.3,24.1,6.76,0.02,0.0,3.17,0.097,0.05,1.56,1.83,0.21,12.52,0.05,0.0,0.26,1
0.07,0.08,0.04,3.43,0.08,0.06,0.0,0.68,0.152,0.05,1.46,0.38,1.43,12.69,0.05,0.0,0.03,0
0.005,1.48,0.27,11.97,1.81,0.05,0.008,4.29,0.189,0.08,1.12,3.75,0.06,28.35,0.07,0.12,0.31,1
0.04,0.08,0.05,5.61,0.01,0.0,0.0,3.97,0.015,0.0,0.46,0.17,1.01,11.68,0.01,0.0,0.02,1
0.001,3.25,0.76,9.55,5.1,0.04,0.002,0.38,0.177,0.03,1.24,0.63,0.89,10.69,0.01,0.21,0.22,1
0.007,4.79,0.58,16.55,5.42,0.02,0.69,2.83,0.111,0.03,1.27,3.01,0.51,12.45,0.03,0.69,0.22,1
0.004,0.93,0.77,12.94,1.42,0.02,0.84,3.92,0.14,0.05,1.4,0.87,1.45,11.63,0.04,0.84,0.03,1
0.04,0.04,0.08,9.31,0.06,0.08,0.56,0.43,0.026,0.08,1.77,1.12,1.29,0.29,0.02,0.56,0.1,0
0.006,3.94,0.08,6.89,5.65,0.04,0.71,2.9,0.061,0.03,1.04,2.9,1.43,21.58,0.05,0.71,0.46,1
0.09,0.09,0.05,2.5,0.07,0.05,0.0,7.9,0.188,0.08,1.82,0.37,0.53,2.12,0.07,0.0,0.02,0
0.005,0.39,0.15,36.04,4.02,0.02,0.005,2.6,0.108,0.01,1.58,1.99,0.68,1.34,0.04,0.42,0.2,1
0.1,2.83,0.45,51.46,6.53,0.84,0.001,7.36,0.186,0.08,1.37,2.01,0.8,13.74,0.08,0.0,0.09,0
0.001,1.36,0.03,9.12,7.23,0.04,0.71,1.72,0.016,0.05,1.29,2.96,1.08,11.33,0.02,0.71,0.45,1
0.04,0.01,0.04,24.29,4.81,0.27,0.005,3.1,0.013,0.01,2.08,0.49,0.2,1.84,0.01,0.45,0.01,1
0.004,4.19,0.76,23.35,2.37,0.05,0.003,0.91,0.178,0.06,1.41,2.42,0.95,8.81,0.02,0.36,0.11,1
0.06,0.09,0.04,0.42,0.15,0.09,0.92,2.75,0.057,0.0,0.03,0.07,0.73,13.57,0.09,0.0,0.09,0
0.004,3.84,0.18,13.46,1.48,0.01,0.68,5.33,0.113,0.05,1.99,3.89,0.88,2.09,0.01,0.68,0.38,1
0.001,1.22,0.45,49.49,5.72,0.01,0.003,6.59,0.088,0.01,1.51,3.2,0.52,1.36,0.01,0.18,0.34,1
0.003,0.37,0.49,2.55,2.56,0.03,0.003,3.95,0.13,0.06,1.9,2.75,1.19,0.37,0.07,0.27,0.49,0
0.001,2.02,0.73,29.85,0.88,0.03,0.009,5.52,0.159,0.0,1.24,2.83,1.45,9.31,0.04,0.42,0.39,1
0.004,4.04,0.24,24.01,4.54,0.02,0.002,3.65,0.124,0.02,1.06,1.62,0.64,0.98,0.05,0.1,0.37,1
0.05,0.08,0.01,3.62,0.05,0.08,0.0,1.04,0.139,0.08,2.28,0.25,0.63,0.24,0.1,0.44,0.0,0
0.02,0.02,0.03,2.09,0.05,0.05,0.56,0.39,0.096,0.03,0.52,0.2,0.85,20.33,0.02,0.0,0.05,0
0.08,0.06,0.01,6.28,0.01,0.03,0.005,0.71,0.084,0.01,0.5,0.65,1.09,20.42,0.06,0.0,0.01,1
0.001,2.37,0.78,50.66,1.98,0.03,0.77,1.07,0.042,0.06,1.32,3.38,0.07,24.23,0.05,0.77,0.16,0
0.02,0.08,0.05,1.86,0.07,0.03,0.009,2.14,0.126,0.02,0.39,1.49,0.54,17.91,0.1,0.0,0.09,0
0.12,0.05,0.35,36.6,6.43,0.61,0.001,7.37,0.197,0.09,1.77,1.89,1.24,28.82,0.08,0.44,0.36,0
0.02,0.21,0.43,4.79,4.02,0.15,0.74,1.55,0.046,0.0,2.12,3.18,0.69,24.42,0.01,0.74,0.47,0
0.07,0.07,0.06,5.31,0.03,0.06,0.92,0.28,0.105,0.04,0.78,0.7,0.26,19.12,0.01,0.0,0.08,0
0.06,0.08,0.09,1.34,0.07,0.07,0.007,1.56,0.074,0.0,1.54,1.23,0.04,13.48,0.09,0.13,0.06,0
0.001,0.09,0.47,32.48,3.58,0.04,0.82,1.45,0.072,0.04,1.37,3.61,1.29,12.26,0.02,0.82,0.31,1
0.001,2.06,0.55,53.73,2.16,0.04,0.64,0.3,0.18,0.09,1.2,1.81,1.29,12.22,0.09,0.64,0.01,0
0.12,0.08,0.15,33.83,2.98,0.12,0.009,6.83,0.001,0.07,1.69,2.41,0.96,18.57,0.07,0.31,0.04,0
0.02,0.07,0.08,1.64,0.09,0.04,0.68,2.65,0.153,0.05,0.33,0.75,0.83,3.66,0.05,0.0,0.03,0
0.002,2.88,0.29,51.29,6.13,0.03,0.78,3.81,0.174,0.06,1.83,3.37,0.91,0.26,0.07,0.78,0.03,1
0.06,0.05,0.0,0.84,0.08,0.04,0.89,2.71,0.062,0.04,1.09,0.24,0.5,24.06,0.1,0.89,0.02,0
0.03,1.68,0.74,43.13,4.35,0.7,0.0,1.71,0.193,0.05,1.74,3.25,1.24,15.65,0.09,0.0,0.44,0
0.01,0.09,0.03,5.67,0.08,0.0,0.004,1.45,0.02,0.06,2.0,1.66,0.36,0.36,0.05,0.28,0.03,0
0.03,0.07,0.08,0.46,0.29,0.09,0.003,3.2,0.089,0.03,0.29,0.34,0.43,23.39,0.03,0.04,0.06,0
0.008,4.93,0.51,26.8,0.7,0.04,0.7,5.58,0.101,0.03,1.11,3.05,1.07,23.98,0.09,0.7,0.38,1
0.04,0.02,0.02,3.9,0.09,0.07,0.57,6.52,0.106,0.04,1.13,2.49,1.48,26.9,0.09,0.57,0.02,0
0.12,2.64,0.02,23.84,2.51,0.88,0.007,1.5,0.008,0.09,1.3,3.48,0.75,11.29,0.02,0.38,0.42,0
0.006,0.05,0.8,48.98,5.59,0.03,0.62,4.21,0.05,0.02,1.9,0.35,0.93,12.31,0.06,0.62,0.07,1
0.01,2.07,0.73,4.47,0.97,0.35,0.009,5.52,0.159,0.0,1.36,2.96,1.45,9.21,0.04,0.0,0.39,0
0.005,2.71,0.04,10.82,4.6,0.05,0.96,7.74,0.04,0.07,1.27,0.46,1.28,4.82,0.09,0.96,0.4,1
0.01,0.09,0.02,0.52,0.1,0.08,0.0,1.89,0.181,0.0,1.0,0.66,0.54,10.99,0.03,0.45,0.08,0
0.0,0.08,0.08,8.47,0.32,0.08,0.003,0.55,0.144,0.04,0.94,1.59,0.4,16.61,0.09,0.0,0.01,1
0.02,0.02,0.09,0.61,0.07,0.06,0.007,4.63,0.024,0.09,1.67,1.82,0.59,20.11,0.06,0.49,0.06,0
0.007,2.21,0.11,28.03,4.1,0.03,0.005,0.15,0.175,0.08,1.96,1.47,1.39,18.61,0.05,0.31,0.33,1
