aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
0.09,24.46,0.01,1.68,0.09,0.0,0.05,0.4,0.71,0.0,0.008,0.022,3.13,0.74,0.009,5.89,0.09,0.09,0.1,0.02,1
0.1,7.01,0.0,0.54,0.07,0.15,0.07,1.22,0.33,0.23,0.001,0.151,1.99,1.2,0.0,4.18,0.12,0.1,0.09,0.02,0
2.45,4.24,0.001,1.86,0.006,0.71,0.24,1.32,0.83,0.6,0.6,0.072,7.51,1.12,0.0,37.13,6.87,0.06,0.3,0.0,1
4.0,21.13,0.02,3.2,0.008,0.89,0.52,0.06,0.14,0.66,0.66,0.144,0.54,1.63,0.006,44.82,6.84,0.02,0.46,0.05,0
0.7,24.86,0.001,3.14,0.008,4.36,0.84,0.4,0.71,0.2,0.008,0.022,3.1,1.96,0.009,33.11,1.12,0.09,0.45,0.02,1
0.02,11.97,0.01,0.03,0.08,0.27,0.02,0.09,0.82,0.0,0.62,0.177,14.8,0.17,0.001,0.05,2.18,0.07,0.07,0.07,0
0.17,12.03,0.05,3.87,0.004,4.93,0.71,1.98,1.32,0.0,0.0,0.034,3.35,1.15,0.006,4.8,7.16,0.02,0.21,0.09,1
0.25,22.87,0.01,0.88,0.005,5.21,0.85,0.43,0.69,0.01,0.004,0.15,10.9,1.63,0.006,7.01,4.94,0.02,0.41,0.04,1
0.25,0.98,0.02,1.62,0.004,4.54,0.24,1.66,0.64,0.1,0.002,0.124,12.21,1.06,0.007,24.01,3.65,0.05,0.37,0.02,0
0.41,14.52,0.02,0.77,0.005,0.6,0.8,1.94,1.31,0.69,0.69,0.194,15.32,1.54,0.004,6.86,1.79,0.06,0.42,0.01,1
0.39,18.85,0.56,3.2,0.02,6.95,0.81,0.07,0.78,0.89,0.89,0.001,18.07,2.39,0.004,55.11,7.69,0.01,0.41,0.09,0
4.0,28.24,0.01,0.78,0.001,7.91,0.32,0.21,1.04,1.0,1.0,0.105,4.38,1.6,0.009,4.59,1.04,0.06,0.04,0.03,1
3.2,1.54,0.01,3.25,0.002,4.24,0.45,1.13,1.05,0.0,0.0,0.007,5.79,1.3,0.006,25.84,6.28,0.01,0.42,0.08,1
0.92,13.22,0.04,2.29,0.007,2.34,0.82,1.74,0.52,0.2,0.003,0.105,3.1,1.28,0.009,10.16,6.85,0.01,0.15,0.07,1
4.12,22.38,0.2,2.44,0.08,6.38,0.11,1.64,1.06,0.07,0.001,0.147,7.97,1.94,0.002,9.87,6.02,0.03,0.35,0.07,0
0.6,24.58,0.01,0.71,0.005,3.14,0.77,1.45,0.98,0.35,0.002,0.167,14.66,1.84,0.004,23.43,4.99,0.08,0.25,0.08,1
0.3,17.76,0.81,0.83,0.02,4.92,0.67,1.67,0.02,0.1,0.007,0.028,14.14,1.84,0.009,1.24,6.21,0.06,0.21,0.03,0
1.77,20.46,0.02,3.79,0.001,7.18,0.49,1.16,0.4,0.25,0.002,0.09,5.38,1.72,0.01,3.49,5.83,0.1,0.24,0.04,1
2.93,15.34,0.01,2.39,0.008,1.65,0.25,1.12,1.15,0.0,0.0,0.121,2.47,1.38,0.003,15.13,7.55,0.1,0.01,0.03,1
3.83,18.88,0.04,2.49,0.003,5.71,0.3,0.67,1.08,0.0,0.0,0.008,10.56,1.84,0.008,16.54,3.4,0.08,0.29,0.02,1
2.56,28.59,0.03,2.16,0.004,5.48,0.33,0.89,1.41,0.74,0.74,0.119,11.67,1.94,0.009,15.96,7.08,0.06,0.14,0.01,1
0.32,23.21,0.03,2.75,0.002,1.53,0.18,1.4,0.54,0.01,0.0,0.041,12.19,1.12,0.008,24.65,5.49,0.03,0.09,0.06,1
1.21,0.65,0.04,0.7,0.007,1.83,0.56,1.59,0.13,0.17,0.0,0.076,9.75,1.21,0.01,5.67,1.45,0.05,0.12,0.02,1
0.1,3.49,0.03,1.95,0.06,0.09,0.07,0.69,0.14,0.44,0.008,0.155,5.96,0.96,0.01,4.54,0.77,0.02,0.01,0.02,0
3.47,15.84,0.02,0.06,0.001,5.29,0.47,1.08,1.43,0.89,0.89,0.08,1.91,1.2,0.008,0.18,6.89,0.06,0.12,0.08,1
1.11,0.33,0.28,3.36,0.11,4.09,0.32,1.21,0.32,0.01,0.004,0.021,2.3,1.11,0.002,41.73,2.31,0.0,0.03,0.02,1
0.06,14.46,0.09,0.44,0.07,0.06,0.06,0.04,0.33,0.0,0.83,0.079,15.17,0.44,0.004,0.65,1.67,0.08,0.01,0.08,0
3.79,5.45,0.02,2.79,0.008,5.64,0.29,0.67,0.25,0.0,0.0,0.169,6.98,1.39,0.001,41.33,3.08,0.06,0.49,0.02,1
3.57,28.81,0.04,1.16,0.002,0.63,0.66,1.8,0.55,0.0,0.0,0.097,14.75,1.63,0.004,6.85,1.57,0.08,0.13,0.07,1
0.04,21.76,0.1,0.27,0.09,0.04,0.07,0.53,0.95,0.19,0.004,0.011,12.18,1.29,0.006,5.77,0.32,0.03,0.01,0.05,0
0.07,21.97,0.01,3.58,0.002,6.2,0.23,0.01,1.38,0.13,0.008,0.121,5.4,1.57,0.003,11.3,2.08,0.04,0.08,0.0,1
1.01,12.52,0.02,1.83,0.003,6.76,0.3,0.23,0.21,0.0,0.0,0.097,17.64,1.56,0.009,24.1,3.17,0.05,0.26,0.05,1
0.02,2.14,0.1,0.27,0.0,0.41,0.07,0.4,0.79,0.0,0.0,0.122,7.76,1.86,0.009,1.65,0.28,0.07,0.06,0.01,0
0.01,12.81,0.06,2.68,0.02,0.07,0.05,0.01,1.49,0.0,0.003,0.02,3.74,0.09,0.008,0.78,2.52,0.04,0.01,0.07,0
0.24,10.47,0.01,3.83,0.008,2.84,0.06,1.72,1.06,0.63,0.63,0.171,1.96,1.47,0.005,22.15,1.5,0.02,0.07,0.02,1
0.09,7.37,0.02,1.08,0.05,0.23,0.01,0.04,0.05,0.0,0.005,0.1,9.92,0.57,0.007,2.72,0.1,0.06,0.08,0.05,1
0.1,18.74,0.09,1.25,0.04,0.04,0.09,0.36,0.64,0.69,0.69,0.005,1.16,1.56,0.001,1.38,0.97,0.07,0.08,0.05,0
0.02,8.59,0.08,1.45,0.02,0.26,0.05,1.22,1.06,0.0,0.008,0.103,4.49,0.4,0.007,0.67,3.4,0.01,0.06,0.07,1
0.05,8.0,0.09,3.73,0.05,0.08,0.02,0.06,0.92,0.0,0.0,0.037,6.44,2.06,0.007,0.47,5.33,0.05,0.1,0.05,0
0.06,20.42,0.03,0.65,0.08,0.01,0.01,0.07,1.09,0.0,0.005,0.084,5.88,0.5,0.001,6.28,0.71,0.06,0.01,0.01,1
0.01,20.84,0.07,0.97,0.01,0.03,0.09,1.36,0.66,0.76,0.76,0.11,9.67,1.68,0.006,8.59,3.48,0.08,0.06,0.04,0
3.81,21.58,0.03,3.62,0.001,2.89,0.25,0.79,1.43,0.51,0.51,0.094,5.74,1.31,0.005,41.37,4.76,0.05,0.4,0.03,0
0.07,4.48,0.02,1.65,0.004,4.15,0.48,0.11,1.46,0.75,0.75,0.005,7.38,1.03,0.002,55.52,7.11,0.07,0.46,0.07,0
0.04,6.62,0.08,0.06,0.02,0.3,0.06,0.2,1.15,0.61,0.61,0.133,7.45,1.65,0.0,0.59,2.37,0.03,0.04,0.02,0
1.36,8.71,0.04,3.48,0.005,3.91,0.49,1.53,1.04,0.08,0.001,0.064,13.72,1.99,0.007,32.94,5.56,0.0,0.03,0.08,1
0.97,24.0,0.03,2.45,0.006,2.16,0.1,1.76,0.74,0.32,0.002,0.048,11.35,1.96,0.004,0.48,0.1,0.07,0.09,0.01,1
3.92,0.53,0.05,3.96,0.008,5.18,0.82,0.69,1.35,0.0,0.0,0.139,1.1,1.64,0.006,12.71,1.03,0.04,0.23,0.07,1
3.82,13.59,0.01,0.84,0.001,3.85,0.23,1.69,1.47,0.05,0.008,0.123,5.54,1.13,0.009,14.98,6.13,0.03,0.48,0.05,1
0.75,10.88,0.01,2.59,0.006,3.49,0.89,0.73,1.06,0.0,0.0,0.011,8.32,1.47,0.007,18.51,0.77,0.02,0.36,0.08,1
0.02,2.56,0.06,0.58,0.01,0.51,0.05,0.4,0.79,0.63,0.63,0.122,7.46,1.72,0.009,0.17,0.34,0.07,0.02,0.01,0
0.11,21.58,0.78,0.57,0.04,0.52,0.5,0.44,0.67,0.59,0.59,0.042,15.95,2.38,0.006,42.68,3.61,0.05,0.05,0.02,1
0.05,20.11,0.03,1.28,0.004,6.82,0.54,1.26,1.27,0.23,0.008,0.176,14.58,1.1,0.0,34.55,6.0,0.07,0.31,0.04,0
0.07,5.24,0.06,2.6,0.09,0.04,0.06,1.96,0.5,0.0,0.5,0.196,6.48,0.51,0.004,1.54,0.59,0.07,0.08,0.06,0
0.43,16.29,0.01,3.45,0.006,6.79,0.05,1.18,0.47,0.0,0.0,0.087,0.26,1.53,0.006,18.48,3.02,0.02,0.31,0.06,1
0.1,3.59,0.03,0.24,0.05,0.26,0.04,0.81,1.43,0.72,0.72,0.037,4.41,1.26,0.003,0.43,0.01,0.09,0.08,0.0,0
0.01,8.26,0.02,0.08,0.07,0.06,0.07,0.02,0.21,0.0,0.98,0.01,2.57,0.47,0.002,0.43,0.44,0.09,0.0,0.01,0
4.4,12.18,0.04,0.98,0.006,3.53,0.13,1.17,0.82,0.0,0.0,0.177,14.8,1.03,0.001,2.35,6.52,0.07,0.42,0.07,1
0.01,9.43,0.03,1.83,0.05,0.0,0.09,1.03,0.27,0.19,0.003,0.163,6.0,1.62,0.003,1.14,4.15,0.02,0.03,0.01,0
0.06,22.77,0.1,0.07,0.06,0.1,0.09,0.5,0.85,0.0,0.004,0.034,4.48,0.88,0.007,10.85,0.99,0.09,0.02,0.02,1
3.62,18.04,0.01,0.69,0.004,1.49,0.86,1.44,1.42,0.31,0.007,0.177,0.19,1.2,0.002,37.89,4.95,0.06,0.07,0.06,1
3.69,3.7,0.05,1.81,0.009,7.24,0.4,0.53,0.93,0.36,0.003,0.102,2.53,1.78,0.0,50.04,4.58,0.01,0.45,0.09,1
0.58,5.34,0.1,3.68,0.11,4.7,0.43,1.11,0.07,0.29,0.002,0.155,12.87,1.8,0.002,40.49,0.02,0.07,0.05,0.01,1
0.08,0.41,0.57,2.66,0.08,1.17,0.33,0.06,1.49,0.15,0.001,0.001,10.11,1.85,0.007,53.45,2.54,0.04,0.5,0.09,0
0.06,27.31,0.06,1.2,0.05,0.23,0.09,0.25,0.41,0.0,0.72,0.158,18.01,0.69,0.005,3.32,0.08,0.03,0.09,0.04,0
0.09,23.35,0.1,0.03,0.08,0.4,0.06,0.02,1.03,0.0,0.009,0.137,10.15,0.19,0.002,2.22,0.33,0.06,0.07,0.02,0
0.04,12.61,0.04,2.77,0.05,0.09,0.03,0.25,1.25,0.7,0.7,0.129,15.72,1.81,0.003,1.17,1.8,0.03,0.08,0.07,0
2.99,3.76,0.04,2.24,0.006,0.51,0.4,0.69,0.14,0.0,0.0,0.155,5.88,1.33,0.01,32.51,1.05,0.02,0.43,0.02,1
0.6,27.18,0.04,2.87,0.008,5.24,0.42,1.92,1.44,0.0,0.0,0.154,2.17,1.87,0.007,46.97,6.71,0.01,0.46,0.05,0
0.18,4.08,0.04,0.57,0.006,1.69,0.27,0.6,0.07,0.79,0.79,0.164,0.65,1.14,0.01,53.23,3.44,0.06,0.44,0.04,1
0.01,16.51,0.08,1.88,0.04,0.2,0.05,0.79,0.15,0.62,0.62,0.106,7.18,0.71,0.001,0.56,2.79,0.02,0.08,0.07,0
0.02,4.62,0.04,0.36,0.06,0.09,0.04,0.1,0.37,0.03,0.008,0.081,10.84,0.46,0.007,0.34,0.33,0.03,0.04,0.03,0
0.09,25.18,0.01,0.39,0.07,0.08,0.1,1.67,1.19,0.86,0.86,0.132,1.2,1.26,0.009,5.73,2.22,0.09,0.09,0.03,0
0.01,24.42,0.04,0.24,0.05,0.41,0.08,0.08,0.52,0.0,0.62,0.022,12.63,0.71,0.003,0.1,0.25,0.04,0.05,0.01,0
0.07,19.21,0.02,3.52,0.01,0.09,0.06,0.79,0.32,0.0,0.64,0.044,0.41,0.26,0.001,0.03,2.3,0.08,0.02,0.05,0
0.01,23.13,0.53,2.28,0.01,4.63,0.52,0.03,0.35,0.86,0.86,0.001,8.45,2.89,0.0,14.92,7.82,0.03,0.4,0.01,0
0.04,12.51,0.09,1.04,0.0,0.18,0.09,0.51,1.49,0.0,0.003,0.02,4.36,0.48,0.008,7.13,2.36,0.04,0.04,0.07,0
4.05,24.04,0.001,3.74,0.005,5.24,0.61,1.33,0.18,0.81,0.81,0.041,15.78,1.81,0.01,14.78,1.29,0.0,0.44,0.07,1
3.46,4.78,0.01,1.82,0.001,2.13,0.46,1.83,0.79,0.7,0.7,0.122,1.45,1.53,0.01,50.82,2.0,0.09,0.28,0.0,1
0.03,20.17,0.08,0.41,0.09,0.08,0.03,0.03,1.16,0.0,0.0,0.114,0.83,1.0,0.005,3.15,4.16,0.05,0.0,0.06,1
0.09,22.3,0.04,0.9,0.03,0.22,0.05,0.98,0.27,0.0,0.005,0.012,9.23,0.39,0.004,1.44,0.84,0.07,0.01,0.08,1
0.06,6.32,0.08,0.06,0.04,0.09,0.01,0.03,0.26,0.0,0.61,0.142,2.11,0.17,0.006,0.11,0.67,0.0,0.02,0.0,0
0.04,19.06,0.06,0.1,0.09,0.03,0.1,1.38,0.13,0.36,0.002,0.117,18.84,1.2,0.001,6.69,0.58,0.08,0.05,0.01,0
0.06,18.66,0.03,1.82,0.05,0.28,0.09,0.08,1.01,0.0,0.68,0.198,11.97,0.19,0.007,1.1,0.7,0.03,0.09,0.06,0
0.08,7.51,0.03,0.88,0.06,0.04,0.03,0.09,1.3,0.03,0.007,0.11,1.08,0.56,0.008,8.49,0.25,0.07,0.1,0.04,1
0.03,5.28,0.77,4.47,0.03,6.59,0.01,0.0,1.14,0.77,0.77,0.174,9.59,1.18,0.006,30.27,0.22,0.04,0.06,0.09,0
3.6,8.62,0.01,1.04,0.004,1.41,0.19,1.76,0.21,0.0,0.0,0.01,2.57,1.61,0.002,5.85,1.54,0.09,0.16,0.01,1
3.71,15.18,0.03,2.54,0.004,0.0,0.54,0.59,0.54,0.31,0.001,0.124,17.62,1.1,0.002,23.58,7.03,0.03,0.08,0.0,1
0.01,0.02,0.49,2.45,0.07,4.14,0.61,0.01,0.79,0.15,0.008,0.001,8.5,1.78,0.002,9.82,3.51,0.08,0.21,0.0,0
0.03,27.61,0.23,1.9,0.06,7.33,0.55,0.07,0.59,0.18,0.008,0.001,16.53,2.01,0.009,19.07,5.57,0.04,0.03,0.05,0
4.13,0.59,0.02,3.91,0.001,1.77,0.34,0.04,0.61,0.21,0.001,0.089,9.19,1.07,0.004,38.32,3.97,0.04,0.32,0.06,1
1.74,3.34,0.01,0.72,0.008,7.93,0.51,0.1,0.46,0.0,0.0,0.165,5.52,1.89,0.002,55.72,0.0,0.05,0.04,0.06,1
1.34,4.06,0.04,0.57,0.003,5.3,0.2,0.89,0.61,0.01,0.001,0.117,11.98,1.11,0.004,3.99,2.41,0.02,0.3,0.06,1
0.01,21.84,0.03,0.61,0.04,0.34,0.04,0.05,0.03,0.24,0.002,0.011,6.75,1.38,0.001,4.66,0.86,0.04,0.03,0.07,0
0.08,11.52,0.04,2.11,0.08,4.96,0.46,0.04,0.79,0.43,0.005,0.001,13.59,1.14,0.006,30.31,5.75,0.04,0.35,0.02,0
3.68,10.66,0.03,3.87,0.007,3.53,0.66,0.82,0.57,0.0,0.0,0.023,2.96,1.55,0.007,4.46,3.29,0.03,0.13,0.06,1
0.07,22.5,0.02,0.97,0.09,0.52,0.05,0.02,0.02,0.0,0.008,0.017,13.82,0.0,0.001,2.53,0.68,0.0,0.05,0.06,0
0.06,14.93,0.05,3.63,0.007,7.74,0.7,1.71,0.65,0.64,0.64,0.12,3.01,1.68,0.002,18.56,3.9,0.05,0.41,0.04,0
0.07,9.72,0.05,3.29,0.006,5.25,0.06,1.17,0.9,0.51,0.51,0.13,2.85,1.31,0.01,42.85,4.23,0.0,0.03,0.01,1
1.14,8.89,0.04,2.67,0.001,0.17,0.46,0.1,0.01,0.0,0.0,0.101,15.1,1.36,0.007,10.45,6.0,0.01,0.01,0.04,1
0.04,15.11,0.1,0.77,0.06,0.06,0.08,1.74,1.4,0.94,0.94,0.166,0.78,0.37,0.005,0.56,0.48,0.09,0.05,0.07,0
4.77,23.72,0.02,2.09,0.001,2.4,0.3,0.86,1.34,0.97,0.97,0.086,1.52,1.11,0.002,15.47,4.89,0.04,0.21,0.01,1
0.01,10.0,0.01,2.0,0.0,2.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.02,20.04,0.04,0.94,0.001,6.5,0.3,1.24,0.79,0.7,0.7,0.113,17.44,1.04,0.009,32.76,5.81,0.0,0.44,0.08,0
0.2,2.55,0.52,2.32,0.09,6.46,0.57,0.05,1.25,0.06,0.005,0.048,0.92,2.08,0.008,21.85,1.0,0.08,0.28,0.03,0
0.09,17.84,0.01,0.04,0.1,0.04,0.04,1.58,0.96,0.31,0.009,0.057,7.61,1.59,0.006,1.82,0.38,0.07,0.1,0.07,0
0.23,29.2,0.01,2.96,0.006,0.59,0.27,1.73,0.06,0.42,0.003,0.064,15.42,1.99,0.004,35.48,7.88,0.06,0.05,0.01,0
3.25,3.51,0.01,2.49,0.005,2.16,0.8,1.88,1.34,0.28,0.003,0.116,3.27,1.76,0.009,20.86,1.25,0.08,0.27,0.06,1
0.02,24.68,0.06,1.49,0.08,0.07,0.06,0.66,1.0,0.0,0.67,0.182,12.34,0.95,0.004,10.86,0.78,0.07,0.02,0.0,0
0.03,22.55,0.02,3.85,0.001,3.67,0.17,0.79,0.34,0.21,0.001,0.08,0.55,1.14,0.009,41.46,4.78,0.03,0.1,0.01,1
3.03,13.84,0.01,3.92,0.005,7.81,0.41,1.97,0.61,0.52,0.52,0.095,13.32,1.74,0.005,48.78,2.95,0.01,0.12,0.02,0
0.07,14.0,0.01,0.49,0.05,0.3,0.08,0.07,0.52,0.0,0.007,0.146,7.72,0.27,0.003,4.12,1.05,0.07,0.01,0.01,1
0.08,26.02,0.06,0.52,0.03,0.01,0.05,0.71,0.99,0.75,0.75,0.071,0.31,0.93,0.002,1.13,0.1,0.0,0.01,0.05,0
0.02,17.13,0.26,3.13,0.11,4.01,0.2,0.05,0.13,0.94,0.94,0.001,6.06,2.02,0.002,32.03,4.64,0.04,0.05,0.02,1
0.01,0.0,0.09,1.38,0.07,0.06,0.01,0.45,1.31,0.0,0.0,0.103,2.2,2.02,0.001,1.87,6.16,0.03,0.08,0.08,0
0.17,17.69,0.04,1.87,0.006,1.12,0.38,0.22,1.09,0.57,0.57,0.101,10.34,1.04,0.001,5.73,1.08,0.04,0.03,0.01,1
0.04,7.34,0.07,0.76,0.08,0.01,0.03,1.51,1.46,0.58,0.58,0.061,9.91,1.69,0.004,3.74,0.37,0.03,0.0,0.06,0
0.1,9.79,0.001,1.6,0.008,0.79,0.34,0.01,0.01,0.5,0.5,0.148,10.33,1.95,0.007,47.93,1.23,0.06,0.01,0.02,1
4.69,25.56,0.05,4.44,0.11,8.2,0.49,1.72,0.49,0.0,0.6,0.093,7.99,1.53,0.009,15.28,7.1,0.02,0.46,0.07,0
1.8,0.59,0.1,4.06,0.13,1.63,0.86,0.26,0.59,0.61,0.61,0.008,13.33,1.95,0.001,57.2,6.26,0.08,0.2,0.06,0
4.5,14.44,0.02,1.72,0.009,3.61,0.59,1.45,0.28,0.52,0.52,0.197,8.05,1.45,0.006,15.98,4.47,0.06,0.02,0.08,1
0.08,0.57,0.03,0.63,0.07,0.07,0.07,0.09,0.04,0.0,0.002,0.123,2.06,0.16,0.003,4.17,0.79,0.07,0.0,0.06,0
0.14,2.6,0.03,1.75,0.007,4.86,0.66,0.86,0.11,0.85,0.85,0.101,6.48,1.06,0.008,17.68,5.59,0.04,0.45,0.06,1
2.56,1.36,0.04,3.45,0.003,3.42,0.03,1.39,1.12,0.1,0.001,0.108,9.36,1.58,0.009,42.15,4.39,0.02,0.11,0.07,1
1.77,7.77,0.34,1.02,0.01,6.79,0.28,0.36,0.45,0.0,0.79,0.198,8.09,1.44,0.008,34.69,1.1,0.0,0.33,0.06,0
1.38,20.58,0.001,0.57,0.008,5.38,0.2,0.78,1.5,0.36,0.0,0.004,7.24,1.86,0.002,27.25,7.77,0.09,0.42,0.02,1
0.09,13.41,0.01,0.32,0.06,0.02,0.0,0.03,0.08,0.0,0.63,0.044,16.61,0.98,0.008,4.42,2.37,0.02,0.01,0.09,0
3.69,2.23,0.13,1.75,0.08,5.65,0.82,1.83,0.04,0.84,0.84,0.11,11.71,1.64,0.002,19.25,4.18,0.09,0.07,0.06,0
2.23,25.59,0.02,3.03,0.001,1.53,0.86,0.66,1.0,0.67,0.67,0.182,11.69,1.15,0.004,3.24,1.27,0.07,0.4,0.0,1
0.07,1.91,0.04,2.84,0.08,0.28,0.07,1.79,0.59,0.25,0.008,0.03,12.8,1.68,0.006,2.64,0.81,0.08,0.07,0.04,0
0.07,26.26,0.01,0.18,0.004,2.14,0.08,1.81,0.92,0.7,0.7,0.018,0.35,1.7,0.008,2.59,4.98,0.03,0.3,0.01,0
2.02,9.31,0.03,2.83,0.001,0.88,0.73,1.49,1.45,0.42,0.009,0.159,2.7,1.24,0.001,29.85,5.52,0.04,0.39,0.0,1
3.35,14.3,0.02,1.92,0.006,7.51,0.28,1.86,0.45,0.36,0.003,0.185,0.96,1.44,0.003,19.55,7.29,0.07,0.02,0.01,1
0.09,14.86,0.53,0.87,0.04,6.22,0.0,0.81,0.24,0.15,0.005,0.005,17.13,2.01,0.002,17.68,1.67,0.04,0.0,0.03,1
3.08,8.83,0.05,2.24,0.003,4.77,0.03,1.11,0.36,0.27,0.006,0.189,16.25,1.56,0.01,3.77,7.81,0.01,0.21,0.05,1
3.74,12.36,0.38,2.76,0.11,6.53,0.8,1.8,1.46,0.0,0.0,0.113,10.13,1.26,0.006,19.64,3.95,0.09,0.44,0.07,0
1.8,13.64,0.18,2.11,0.01,0.5,0.51,1.5,0.69,0.0,0.0,0.053,1.97,1.52,0.005,46.35,6.98,0.05,0.15,0.07,0
0.43,10.55,0.04,1.24,0.003,6.78,0.37,1.84,0.22,0.0,0.0,0.035,5.03,1.15,0.002,13.14,7.54,0.0,0.47,0.06,1
0.03,7.2,0.001,2.04,0.005,0.8,0.15,1.65,0.8,0.54,0.54,0.163,10.42,1.76,0.008,55.9,5.88,0.01,0.18,0.0,0
0.05,17.54,0.04,0.21,0.02,0.49,0.06,1.95,0.99,0.05,0.009,0.156,18.99,0.23,0.006,0.23,3.55,0.01,0.04,0.02,0
2.64,11.29,0.88,3.48,0.12,2.51,0.02,1.21,0.75,0.38,0.007,0.008,14.58,1.3,0.004,23.84,1.5,0.02,0.42,0.09,0
1.42,6.3,0.91,0.8,0.05,6.13,0.09,0.99,0.8,0.37,0.002,0.148,18.18,1.94,0.002,41.84,4.08,0.06,0.05,0.01,1
2.38,1.44,0.04,2.36,0.002,6.13,0.08,1.63,0.57,0.68,0.68,0.151,12.31,1.07,0.009,47.49,1.06,0.1,0.07,0.03,1
0.04,27.51,0.88,4.46,0.09,6.72,0.49,0.02,0.41,0.72,0.72,0.001,17.98,1.52,0.005,38.83,3.58,0.03,0.49,0.04,0
0.03,16.56,0.06,0.49,0.09,0.04,0.03,0.02,0.86,0.0,0.002,0.113,0.23,0.21,0.01,2.62,0.98,0.08,0.05,0.03,1
0.01,1.62,0.6,3.25,0.03,0.62,0.25,0.31,1.29,0.56,0.56,0.026,17.96,1.88,0.002,55.87,0.98,0.02,0.21,0.08,0
4.62,17.24,0.41,2.85,0.09,5.45,0.39,0.87,0.3,0.76,0.76,0.022,7.26,2.05,0.009,11.62,6.31,0.09,0.35,0.06,0
3.59,19.74,0.04,2.88,0.004,6.0,0.78,1.92,0.29,0.02,0.007,0.192,13.3,1.44,0.007,6.39,1.27,0.05,0.11,0.06,1
0.23,23.47,0.03,3.01,0.005,7.72,0.04,1.97,0.12,0.52,0.52,0.121,10.85,1.09,0.002,16.15,5.97,0.08,0.2,0.01,0
0.09,13.98,0.09,0.77,0.08,0.05,0.06,0.82,1.16,0.29,0.005,0.198,7.68,1.73,0.01,6.28,4.67,0.06,0.01,0.04,0
0.02,4.34,0.09,0.67,0.07,0.03,0.04,0.08,0.53,0.0,0.0,0.159,15.32,1.0,0.006,4.64,0.84,0.02,0.03,0.03,1
0.0,9.22,0.07,0.68,0.08,0.64,0.09,1.04,0.58,0.5,0.5,0.106,14.85,1.82,0.005,12.05,1.84,0.03,0.05,0.01,0
0.39,26.55,0.07,1.56,0.03,5.07,0.67,1.99,0.08,0.1,0.008,0.172,17.61,2.14,0.001,46.86,0.01,0.08,0.02,0.02,1
0.94,23.14,0.62,4.14,0.04,1.05,0.26,0.5,0.85,0.0,0.0,0.034,4.5,1.39,0.007,49.1,3.23,0.09,0.03,0.02,0
3.38,0.13,0.03,1.36,0.003,2.38,0.01,0.93,1.44,0.53,0.53,0.199,12.84,1.25,0.01,47.83,2.74,0.03,0.24,0.05,1
0.23,21.02,0.7,1.3,0.11,2.11,0.25,0.83,1.09,0.34,0.005,0.084,6.18,1.68,0.001,22.15,4.6,0.06,0.04,0.01,1
2.47,28.5,0.001,3.67,0.002,3.63,0.63,1.47,1.37,0.0,0.0,0.197,13.53,1.09,0.005,11.55,2.13,0.09,0.05,0.03,1
2.78,0.51,0.04,2.44,0.006,1.09,0.33,1.94,1.49,0.15,0.001,0.114,9.96,1.84,0.007,28.44,2.54,0.04,0.5,0.09,1
0.05,3.41,0.02,0.84,0.06,0.29,0.04,0.07,0.45,0.0,0.002,0.149,18.77,0.76,0.004,3.72,2.72,0.1,0.02,0.03,0
2.99,0.22,0.001,2.58,0.008,1.43,0.35,1.69,1.32,0.99,0.99,0.063,16.95,1.17,0.003,27.25,2.39,0.07,0.25,0.0,1
0.01,13.68,0.07,1.02,0.07,0.09,0.03,0.36,0.37,0.45,0.001,0.033,9.55,1.38,0.005,0.5,0.8,0.05,0.09,0.06,0
0.53,4.86,0.001,2.19,0.001,1.51,0.26,1.28,0.99,0.42,0.002,0.165,4.0,1.07,0.005,29.27,5.69,0.02,0.28,0.06,1
0.49,28.18,0.04,0.26,0.005,2.11,0.65,0.62,0.44,0.31,0.002,0.136,12.26,1.1,0.004,18.2,2.12,0.09,0.37,0.02,1
0.04,1.68,0.04,0.07,0.07,0.32,0.01,0.86,0.11,0.85,0.85,0.101,6.48,1.06,0.008,0.71,3.94,0.04,0.04,0.06,0
0.04,9.03,0.05,0.01,0.09,0.24,0.08,1.37,0.71,0.99,0.99,0.112,11.47,1.33,0.001,2.13,0.75,0.0,0.02,0.06,0
2.59,5.8,0.001,1.99,0.002,6.45,0.07,0.65,1.5,0.79,0.79,0.118,11.34,1.97,0.002,46.13,2.35,0.01,0.31,0.06,0
2.76,9.25,0.02,0.2,0.009,1.9,0.7,1.33,0.71,0.0,0.0,0.014,7.64,1.55,0.006,34.35,6.67,0.01,0.16,0.02,1
0.0,21.07,0.01,0.1,0.05,0.02,0.1,0.06,0.14,0.66,0.66,0.144,0.54,1.63,0.006,1.44,5.38,0.02,0.06,0.05,0
0.0,28.45,0.53,3.79,0.1,6.34,0.88,1.23,1.48,0.57,0.57,0.106,7.17,1.23,0.005,17.87,7.71,0.09,0.09,0.04,0
0.0,10.19,0.06,0.09,0.09,0.05,0.04,1.05,0.96,0.0,0.008,0.049,2.31,0.45,0.001,4.74,0.4,0.01,0.02,0.05,1
