aluminium,cadmium,chromium,arsenic,chloramine,perchlorate,radium,nitrates,barium,bacteria,silver,selenium,ammonia,viruses,uranium,is_safe
2.63,0.007,0.69,0.02,1.89,39.05,4.15,5.91,1.74,0.55,0.38,0.01,19.11,0.55,0.08,1
0.05,0.08,0.01,0.05,0.7,7.39,0.08,7.26,0.77,0.0,0.08,0.02,16.94,0.003,0.07,1
0.07,0.003,0.13,0.03,4.79,40.67,5.94,9.6,2.45,0.0,0.1,0.03,12.48,0.008,0.07,0
0.08,0.01,0.02,0.02,0.52,7.5,6.43,10.67,0.1,0.51,0.05,0.08,19.59,0.51,0.03,0
0.1,0.07,0.07,0.0,0.15,4.18,0.12,1.99,0.54,0.23,0.09,0.1,7.01,0.001,0.02,0
4.65,0.008,0.13,0.01,5.35,7.6,3.29,17.52,3.59,0.83,0.35,0.07,18.55,0.83,0.05,1
0.04,0.13,0.24,0.48,4.58,32.69,3.65,12.44,1.72,0.1,0.37,0.05,0.88,0.002,0.02,0
0.9,0.001,0.15,0.05,4.95,25.15,7.35,2.77,3.58,0.87,0.44,0.09,5.48,0.87,0.08,1
0.03,0.07,0.03,0.05,0.33,9.12,2.42,12.59,0.53,0.69,0.07,0.03,27.15,0.69,0.07,0
0.29,0.006,0.1,0.03,2.16,0.48,0.1,11.35,2.45,0.32,0.09,0.07,24.0,0.002,0.01,1
1.92,0.008,0.16,0.03,1.87,15.3,4.8,10.69,1.11,0.76,0.41,0.06,19.73,0.76,0.02,1
0.03,0.08,0.08,0.01,0.16,2.53,0.13,8.05,0.07,0.0,0.09,0.06,13.73,0.52,0.08,0
1.27,0.008,0.19,0.05,6.43,41.53,4.71,0.9,0.75,0.0,0.22,0.01,10.06,0.0,0.07,1
0.13,0.05,0.06,1.03,7.83,7.7,5.82,2.4,2.92,0.62,0.17,0.02,28.79,0.62,0.03,0
0.02,0.003,0.69,0.04,3.45,35.17,0.66,1.73,1.4,0.3,0.05,0.04,9.9,0.006,0.03,1
0.03,0.08,0.0,0.05,0.42,4.81,0.54,0.39,0.63,0.06,0.04,0.08,2.19,0.005,0.03,1
2.5,0.003,0.08,0.03,0.51,22.13,4.07,17.2,3.44,0.0,0.41,0.02,9.49,0.0,0.06,1
3.08,0.003,0.03,0.05,4.77,3.77,7.81,16.25,2.24,0.27,0.21,0.01,8.83,0.006,0.05,1
0.29,0.02,0.03,0.7,4.82,48.79,7.81,16.4,2.82,0.27,0.21,0.01,8.73,0.006,0.05,0
0.08,0.02,0.79,0.48,1.01,15.37,7.59,15.02,2.85,0.99,0.44,0.0,29.72,0.99,0.06,0
4.48,0.008,0.14,0.05,6.11,30.91,2.12,3.84,2.74,0.15,0.49,0.02,11.84,0.003,0.04,1
0.05,0.09,0.54,0.25,1.16,20.03,2.42,14.51,3.06,0.04,0.23,0.05,23.8,0.007,0.0,0
0.05,0.0,0.06,0.07,0.16,0.99,4.0,2.17,0.99,0.0,0.08,0.03,3.31,0.97,0.0,0
0.63,0.003,0.58,0.02,5.61,28.58,0.09,0.83,3.51,0.37,0.37,0.02,24.98,0.001,0.06,1
0.02,0.04,0.05,0.06,0.01,1.52,2.91,11.26,0.81,0.0,0.09,0.02,15.58,1.0,0.08,0
1.27,0.008,0.84,0.03,6.23,12.9,2.15,0.45,0.04,0.0,0.21,0.03,19.87,0.0,0.04,1
0.09,0.01,0.06,0.03,0.03,0.16,0.07,3.77,0.08,0.0,0.04,0.07,14.96,0.007,0.06,0
2.64,0.002,0.72,0.04,6.6,33.77,1.16,4.38,3.93,0.0,0.01,0.07,6.52,0.0,0.0,1
0.09,0.06,0.04,0.09,0.15,0.42,2.75,7.37,0.07,0.0,0.09,0.09,13.57,0.92,0.0,0
0.05,0.06,0.08,0.06,0.26,5.53,1.29,15.13,0.28,0.73,0.05,0.03,15.9,0.73,0.07,0
0.09,0.01,0.1,0.05,0.18,0.81,2.77,16.69,2.67,0.02,0.04,0.03,0.02,0.003,0.01,0
0.95,0.007,0.82,0.01,4.9,47.65,3.18,4.57,2.8,0.17,0.12,0.05,29.47,0.0,0.08,0
0.1,0.05,0.04,0.06,0.22,0.97,3.78,13.97,0.26,0.02,0.02,0.07,1.97,0.0,0.06,0
0.08,0.04,0.01,0.05,0.25,1.63,1.7,2.77,1.52,0.0,0.04,0.09,5.02,0.87,0.08,0
2.61,0.04,0.74,0.88,1.43,25.88,3.86,16.62,0.72,0.09,0.43,0.01,6.12,0.0,0.0,0
1.93,0.009,0.67,0.001,4.99,16.21,0.01,16.74,0.79,0.1,0.02,0.08,26.65,0.008,0.02,1
3.02,0.004,0.29,0.001,3.4,8.33,6.53,0.8,3.76,0.53,0.32,0.01,8.17,0.53,0.02,1
4.93,0.005,0.4,0.04,6.85,34.7,2.18,14.61,2.0,0.31,0.19,0.05,6.05,0.005,0.04,1
0.08,0.09,0.07,0.09,0.47,1.7,0.5,4.28,0.73,0.0,0.07,0.03,18.59,0.94,0.01,0
2.79,0.005,0.56,0.04,6.89,31.13,1.95,8.61,1.72,0.77,0.32,0.03,9.54,0.77,0.0,1
3.97,0.001,0.43,0.001,3.41,53.36,2.61,1.67,2.26,0.23,0.38,0.1,7.47,0.001,0.02,1
0.08,0.05,0.08,0.03,0.06,3.51,1.87,7.63,0.97,0.0,0.04,0.02,23.42,0.001,0.02,1
1.9,0.005,0.22,0.04,5.23,13.86,3.74,7.47,3.4,0.12,0.27,0.06,28.85,0.006,0.01,1
0.05,0.05,0.09,0.08,0.38,0.14,0.49,6.98,0.16,0.35,0.08,0.01,28.63,0.007,0.09,0
0.86,0.003,0.04,0.04,5.47,38.49,7.12,5.03,1.31,0.18,0.28,0.07,18.64,0.007,0.01,0
0.07,0.08,0.69,0.32,3.52,43.03,0.66,2.61,2.32,0.3,0.05,0.04,9.8,0.006,0.03,1
0.08,0.0,0.06,0.02,0.1,3.46,3.57,14.86,0.84,0.99,0.09,0.0,29.12,0.99,0.06,0
1.34,0.003,0.2,0.04,5.3,3.99,2.41,11.98,0.57,0.01,0.3,0.02,4.06,0.001,0.06,1
0.1,0.06,0.02,0.01,0.17,2.12,4.13,2.55,0.2,0.0,0.0,0.0,0.3,0.0,0.04,0
0.06,0.007,0.68,0.01,0.11,13.79,0.06,8.14,0.97,0.83,0.18,0.08,16.43,0.83,0.02,0
0.23,0.11,0.25,0.7,2.11,22.15,4.6,6.18,1.3,0.34,0.04,0.06,21.02,0.005,0.01,1
2.17,0.002,0.76,0.01,4.42,10.72,0.77,13.27,1.93,0.11,0.33,0.0,8.76,0.005,0.01,1
0.23,0.002,0.2,0.05,6.83,16.47,1.34,10.83,3.89,0.0,0.06,0.03,10.42,0.0,0.04,1
0.93,0.004,0.77,0.02,1.42,12.94,3.92,4.52,0.87,0.84,0.03,0.04,11.63,0.84,0.05,1
0.22,0.006,0.06,0.05,5.25,42.85,4.23,2.85,3.29,0.51,0.03,0.0,9.72,0.51,0.01,1
0.03,0.08,0.0,0.09,0.01,3.76,0.8,16.27,2.11,0.44,0.04,0.1,0.75,0.003,0.08,0
0.3,0.09,0.36,0.04,2.87,23.64,5.45,2.61,1.09,0.86,0.04,0.07,22.22,0.86,0.07,0
0.02,0.1,0.01,0.05,0.13,4.36,3.68,4.27,0.2,0.15,0.01,0.02,6.16,0.009,0.0,0
2.64,0.11,0.8,0.51,2.84,48.06,4.16,16.91,2.6,0.0,0.11,0.06,27.37,0.0,0.02,0
0.03,0.007,0.22,0.01,6.15,21.54,0.74,13.82,1.18,0.22,0.35,0.0,23.0,0.008,0.06,0
2.89,0.008,0.54,0.05,5.99,17.54,4.33,17.56,3.77,0.2,0.05,0.1,18.82,0.009,0.02,1
0.18,0.04,0.21,0.42,0.48,32.02,0.51,19.29,2.93,0.56,0.2,0.06,22.11,0.56,0.0,0
0.06,0.05,0.06,0.05,0.02,2.93,1.84,9.18,0.15,0.0,0.07,0.02,0.35,0.0,0.0,0
0.02,0.06,0.04,0.0,0.3,0.39,1.43,1.8,1.83,0.0,0.04,0.01,14.71,0.69,0.05,0
1.24,0.05,0.18,0.84,0.18,6.36,5.41,2.34,1.19,0.0,0.32,0.01,25.85,0.0,0.0,0
0.58,0.11,0.43,0.1,4.7,40.49,0.02,12.87,3.68,0.29,0.05,0.07,5.34,0.002,0.01,1
2.03,0.11,0.77,0.89,4.65,25.24,4.83,5.86,2.66,0.59,0.1,0.02,28.45,0.59,0.02,1
1.69,0.002,0.78,0.001,5.87,24.61,7.77,8.64,2.01,0.13,0.11,0.06,22.8,0.008,0.05,1
3.45,0.004,0.79,0.01,1.89,28.21,2.94,0.62,1.51,0.0,0.14,0.01,24.62,0.0,0.09,1
4.64,0.005,0.57,0.01,0.1,7.62,2.82,3.21,3.69,0.28,0.15,0.05,6.54,0.004,0.06,1
1.87,0.008,0.52,0.05,2.86,20.32,2.21,1.11,3.74,0.77,0.48,0.02,6.1,0.77,0.04,1
3.56,0.007,0.08,0.04,4.49,7.0,2.73,5.56,1.29,0.0,0.19,0.03,21.75,0.0,0.0,1
0.09,0.07,0.88,0.36,5.73,44.74,2.3,17.03,0.2,0.27,0.0,0.07,0.04,0.002,0.0,1
0.06,0.04,0.09,0.01,0.2,0.84,0.5,15.12,0.33,0.0,0.02,0.08,25.52,0.74,0.06,0
3.47,0.009,0.69,0.03,3.1,17.89,1.97,0.36,3.81,0.0,0.25,0.07,8.61,0.0,0.01,1
0.09,0.13,0.1,0.3,4.53,40.77,6.87,17.79,1.71,0.93,0.13,0.05,12.17,0.93,0.07,0
0.02,0.07,0.0,0.06,0.23,10.57,0.53,14.65,0.46,0.0,0.03,0.03,9.07,0.84,0.06,0
0.1,0.07,0.08,0.03,0.16,6.04,2.78,17.66,0.22,0.0,0.04,0.1,9.85,0.95,0.04,0
0.99,0.1,0.56,0.79,1.16,13.21,4.28,9.01,4.07,0.43,0.05,0.02,9.24,0.006,0.02,1
2.72,0.001,0.06,0.001,7.85,41.23,1.8,2.65,3.32,0.0,0.09,0.04,2.22,0.0,0.01,1
4.27,0.006,0.21,0.04,6.5,14.92,5.87,7.01,2.91,0.0,0.21,0.02,5.39,0.0,0.07,1
0.31,0.03,0.46,0.39,3.58,26.23,2.27,2.99,1.91,0.77,0.25,0.02,29.13,0.77,0.07,0
0.01,0.05,0.04,0.05,0.53,0.84,0.36,9.31,0.35,0.35,0.06,0.09,0.76,0.004,0.09,0
0.01,0.03,0.01,0.02,0.06,0.2,0.08,2.78,1.13,0.0,0.05,0.07,0.0,0.002,0.06,0
0.06,0.05,0.0,0.01,0.04,0.03,0.27,9.55,1.5,0.0,0.07,0.05,13.89,0.001,0.06,0
0.1,0.04,0.07,0.06,0.18,5.03,0.33,16.67,0.5,0.63,0.09,0.02,13.62,0.63,0.09,0
0.71,0.006,0.72,0.03,0.08,31.84,3.03,2.5,3.59,0.99,0.39,0.08,17.58,0.99,0.03,1
1.19,0.008,0.18,0.01,0.13,38.31,5.41,2.31,0.75,0.18,0.32,0.01,25.95,0.004,0.0,1
0.8,0.006,0.53,0.03,5.43,38.71,6.67,11.36,2.75,0.0,0.27,0.09,3.56,0.0,0.04,1
0.05,0.02,0.09,0.1,0.02,6.68,1.41,11.38,1.89,0.0,0.07,0.09,2.13,0.77,0.08,0
0.06,0.05,0.04,0.04,0.01,0.38,0.15,9.91,0.39,0.0,0.02,0.06,28.88,0.001,0.08,1
0.02,0.01,0.06,0.01,0.65,10.05,1.38,4.9,1.7,0.0,0.03,0.01,11.83,0.75,0.07,0
0.59,0.007,0.17,0.04,6.69,2.43,5.45,16.76,1.28,1.0,0.48,0.08,13.72,1.0,0.08,1
0.1,0.1,0.05,0.09,0.48,1.88,4.23,7.17,2.68,0.0,0.1,0.05,14.31,0.63,0.05,0
0.09,0.01,0.0,0.09,0.04,0.14,0.19,5.63,2.35,0.44,0.06,0.09,24.03,0.007,0.01,0
3.15,0.003,0.61,0.01,3.75,34.91,3.51,8.05,1.68,0.15,0.21,0.08,0.12,0.008,0.0,1
0.08,0.08,0.33,0.57,1.17,53.45,2.54,10.11,2.66,0.15,0.5,0.04,0.41,0.001,0.09,0
0.06,0.0,0.09,0.04,0.08,2.55,3.22,9.46,0.23,0.0,0.05,0.01,18.94,0.77,0.04,0
1.13,0.02,0.58,0.32,5.4,51.32,7.92,4.74,2.87,0.73,0.29,0.09,23.77,0.73,0.04,0
4.24,0.07,0.47,0.98,7.14,1.23,2.4,19.06,2.34,0.0,0.35,0.05,23.27,0.0,0.02,0
0.05,0.01,0.05,0.08,0.28,3.31,0.29,6.19,1.0,0.2,0.03,0.03,6.94,0.007,0.02,0
0.1,0.08,0.03,0.01,0.05,0.04,1.3,15.13,0.25,0.05,0.07,0.07,13.23,0.003,0.01,0
0.1,0.04,0.02,0.07,0.17,1.18,3.95,9.35,1.18,0.0,0.09,0.09,7.6,0.003,0.07,1
1.77,0.007,0.65,0.04,6.12,10.44,1.86,1.61,2.06,0.32,0.07,0.01,10.45,0.008,0.05,1
0.08,0.03,0.07,0.07,0.28,0.07,0.43,11.6,0.86,0.97,0.1,0.06,3.48,0.97,0.08,0
0.03,0.07,0.17,0.04,6.89,48.18,5.45,16.83,1.31,1.0,0.48,0.08,13.62,1.0,0.08,0
0.01,0.07,0.03,0.08,0.06,0.96,0.97,18.84,0.54,0.0,0.07,0.04,16.35,0.67,0.07,0
0.05,0.04,0.03,0.0,0.1,3.57,2.13,14.29,1.95,0.0,0.06,0.09,7.78,0.0,0.03,1
1.45,0.005,0.53,0.02,4.18,2.08,4.51,3.77,1.53,0.19,0.07,0.1,23.77,0.001,0.02,1
4.39,0.005,0.62,0.02,4.93,8.56,6.29,14.95,2.5,0.39,0.29,0.1,29.54,0.008,0.06,1
0.57,0.001,0.63,0.04,7.02,16.39,6.81,13.05,1.81,0.75,0.49,0.08,12.12,0.75,0.07,1
3.63,0.008,0.16,0.03,7.02,39.03,6.3,5.13,3.45,0.69,0.25,0.03,27.81,0.69,0.08,0
0.07,0.02,0.09,0.09,0.02,8.45,1.31,2.85,0.1,0.0,0.05,0.05,5.41,0.009,0.08,1
3.06,0.12,0.46,0.24,1.49,13.79,3.46,9.41,1.69,0.0,0.23,0.1,12.15,0.002,0.04,0
2.73,0.003,0.67,0.01,3.33,11.27,6.85,14.07,3.65,0.0,0.11,0.06,29.18,0.0,0.06,1
0.92,0.006,0.69,0.03,2.67,16.9,2.41,6.74,0.2,0.13,0.06,0.02,24.33,0.001,0.02,1
0.04,0.0,0.02,0.04,0.03,0.14,0.37,8.5,0.38,0.0,0.04,0.02,1.43,0.58,0.0,0
0.01,0.06,0.02,0.07,0.14,1.02,0.16,18.95,0.29,0.37,0.08,0.05,14.68,0.002,0.07,0
0.09,0.06,0.05,0.01,0.03,2.03,0.7,1.51,0.92,0.0,0.06,0.03,5.94,0.004,0.05,1
0.24,0.1,0.13,0.49,2.03,15.98,0.8,16.03,3.78,0.0,0.07,0.07,27.45,0.001,0.0,1
3.98,0.04,0.61,0.96,1.65,19.5,2.44,6.33,1.03,0.0,0.04,0.04,11.08,0.78,0.07,0
4.35,0.007,0.02,0.02,3.21,22.42,4.13,1.59,1.92,0.0,0.06,0.0,0.13,0.0,0.04,1
1.19,0.007,0.81,0.03,6.86,3.38,7.69,17.23,2.87,0.89,0.41,0.01,18.95,0.89,0.09,1
0.1,0.07,0.01,0.03,0.38,3.6,0.72,5.79,2.11,0.97,0.08,0.01,0.75,0.97,0.08,0
4.71,0.08,0.32,0.72,7.38,58.67,1.94,16.68,3.79,0.0,0.41,0.01,2.47,0.003,0.0,0
2.63,0.007,0.9,0.04,0.78,11.52,1.34,1.74,0.27,0.55,0.19,0.03,26.73,0.55,0.05,1
0.08,0.08,0.1,0.0,0.15,2.88,0.95,18.91,0.82,0.32,0.04,0.02,0.4,0.003,0.08,0
0.01,0.008,0.82,0.02,2.88,49.56,4.35,15.01,1.99,0.45,0.38,0.05,17.88,0.009,0.03,0
2.24,0.003,0.54,0.03,4.16,18.77,7.42,2.5,0.8,0.39,0.1,0.05,5.52,0.009,0.08,1
1.41,0.001,0.12,0.02,5.79,36.39,4.33,5.35,3.34,0.0,0.39,0.02,3.42,0.0,0.07,1
0.03,0.06,0.08,0.05,0.04,1.74,2.4,14.24,0.33,0.0,0.04,0.04,1.93,0.002,0.0,0
3.95,0.05,0.34,0.25,0.94,37.84,1.23,10.84,1.73,0.0,0.01,0.06,9.69,0.0,0.02,1
0.01,0.06,0.08,0.06,0.1,10.07,0.54,9.22,0.3,0.0,0.08,0.02,21.48,0.93,0.05,0
0.19,0.007,0.76,0.01,1.13,44.45,7.42,4.15,0.65,0.92,0.33,0.01,19.57,0.92,0.04,0
0.01,0.07,0.02,0.07,0.55,0.73,0.01,9.54,1.68,0.35,0.03,0.06,24.65,0.004,0.0,0
0.07,0.003,0.68,0.03,5.67,6.7,3.04,2.44,0.51,0.78,0.32,0.07,2.58,0.78,0.06,0
0.05,0.08,0.1,0.07,0.48,0.01,0.0,4.06,0.91,0.0,0.02,0.02,10.19,0.0,0.0,1
2.71,0.003,0.13,0.01,1.07,17.62,2.65,5.92,3.15,0.28,0.4,0.07,27.52,0.004,0.01,1
4.38,0.003,0.1,0.01,3.5,24.76,2.6,12.48,1.22,0.61,0.05,0.06,7.96,0.61,0.09,1
0.02,0.05,0.04,0.01,0.08,0.36,1.13,1.24,0.89,0.0,0.05,0.06,16.29,0.71,0.03,0
0.01,0.07,0.01,0.09,0.06,1.87,6.16,2.2,1.38,0.0,0.08,0.03,0.0,0.0,0.08,0
3.09,0.02,0.46,0.28,2.58,4.39,0.68,16.22,2.69,0.0,0.09,0.02,22.19,0.0,0.02,1
0.75,0.001,0.66,0.01,4.5,43.87,3.36,15.38,0.22,0.43,0.04,0.05,9.74,0.002,0.08,0
0.02,0.07,0.83,0.58,3.55,24.32,3.93,13.07,1.75,0.89,0.41,0.06,26.72,0.89,0.08,0
0.0,0.04,0.03,0.01,0.26,1.27,0.46,7.84,0.97,0.8,0.01,0.05,23.45,0.8,0.06,0
0.1,0.03,0.06,0.08,0.0,2.45,6.31,18.27,0.4,0.07,0.0,0.05,16.61,0.008,0.05,0
1.98,0.005,0.79,0.001,3.62,47.78,4.38,8.13,3.69,0.92,0.29,0.05,1.5,0.92,0.05,1
0.02,0.01,0.43,0.95,6.95,18.68,4.9,16.39,3.99,0.29,0.16,0.06,8.96,0.008,0.01,0
3.29,0.008,0.56,0.05,3.95,24.98,1.78,6.03,2.89,0.75,0.42,0.05,24.1,0.75,0.01,1
0.03,0.09,0.06,0.05,0.09,2.5,0.35,9.79,0.95,0.0,0.05,0.05,14.25,0.001,0.06,0
0.02,0.02,0.02,0.01,0.55,0.44,3.54,5.38,0.84,0.0,0.06,0.1,20.39,0.002,0.04,1
3.62,0.001,0.53,0.03,4.4,8.76,3.93,12.3,3.99,0.0,0.43,0.09,2.31,0.0,0.03,1
0.03,0.02,0.02,0.08,0.04,1.28,0.21,4.36,0.91,0.0,0.06,0.07,1.37,0.0,0.0,0
3.54,0.008,0.66,0.03,4.96,12.48,7.93,9.65,1.0,0.0,0.42,0.09,28.57,0.0,0.01,1
0.09,0.05,0.71,0.13,4.37,37.65,6.66,1.33,1.78,0.34,0.45,0.05,16.12,0.004,0.08,0
0.08,0.05,0.01,0.08,0.05,3.62,1.04,15.92,0.25,0.44,0.0,0.1,0.24,0.0,0.08,0
3.68,0.01,0.81,0.71,4.11,56.27,7.18,16.26,2.98,0.0,0.45,0.07,3.43,0.0,0.03,0
0.1,0.13,0.87,0.24,4.09,18.12,0.62,7.4,1.56,0.71,0.06,0.07,10.19,0.71,0.03,1
0.02,0.04,0.23,0.56,6.26,28.51,2.08,6.04,4.43,0.13,0.08,0.04,21.87,0.008,0.0,1
0.05,0.07,0.08,0.04,0.54,4.03,0.44,18.51,0.39,0.19,0.0,0.1,22.57,0.0,0.02,0
0.36,0.06,0.56,0.61,2.02,27.62,1.45,10.67,0.78,0.17,0.12,0.05,0.55,0.0,0.02,0
4.5,0.009,0.59,0.02,3.61,15.98,4.47,8.05,1.72,0.52,0.02,0.06,14.44,0.52,0.08,1
0.25,0.005,0.85,0.01,5.21,7.01,4.94,10.9,0.88,0.01,0.41,0.02,22.87,0.004,0.04,1
0.31,0.002,0.3,0.03,5.29,48.81,4.63,10.49,3.57,0.83,0.18,0.09,26.12,0.83,0.05,0
0.05,0.06,0.04,0.02,0.29,3.72,2.72,18.77,0.84,0.0,0.02,0.1,3.41,0.002,0.03,0
4.62,0.09,0.39,0.41,5.45,11.62,6.31,7.26,2.85,0.76,0.35,0.09,17.24,0.76,0.06,0
1.71,0.006,0.49,0.05,6.48,5.74,3.58,17.1,3.51,0.72,0.49,0.03,27.61,0.72,0.04,1
1.77,0.007,0.1,0.001,2.05,6.17,3.69,17.73,3.33,0.91,0.37,0.04,21.15,0.91,0.0,1
0.01,0.05,0.07,0.09,0.06,5.33,3.03,2.44,0.64,0.0,0.09,0.05,9.82,0.58,0.01,0
4.34,0.005,0.79,0.04,3.1,21.12,1.55,14.69,1.84,0.21,0.15,0.03,1.86,0.004,0.04,1
0.07,0.05,0.08,0.09,0.2,3.63,0.41,2.18,0.83,0.0,0.05,0.04,9.24,0.006,0.03,1
0.01,0.03,0.07,0.07,0.01,2.7,0.88,7.72,0.19,0.01,0.02,0.06,3.49,0.0,0.08,1
0.03,0.07,0.09,0.04,0.11,2.74,0.19,5.17,0.78,0.79,0.05,0.06,23.31,0.79,0.08,0
0.1,0.1,0.06,0.03,0.29,3.23,0.49,15.05,0.06,0.49,0.07,0.01,27.37,0.001,0.03,0
2.74,0.001,0.57,0.02,1.35,24.43,1.42,5.46,1.4,0.0,0.05,0.04,16.69,0.0,0.07,1
0.01,0.05,0.08,0.06,0.42,0.15,1.28,2.76,0.4,0.41,0.0,0.08,6.82,0.001,0.05,0
0.06,0.07,0.01,0.09,0.05,11.97,0.07,14.04,2.36,0.43,0.04,0.03,9.64,0.007,0.04,0
2.24,0.008,0.13,0.03,5.12,30.09,4.05,5.33,1.1,0.78,0.12,0.03,21.76,0.78,0.08,1
0.05,0.06,0.0,0.04,0.08,0.84,2.71,7.04,0.24,0.89,0.02,0.1,24.06,0.89,0.04,0
3.28,0.006,0.31,0.05,5.42,0.13,4.62,6.92,3.59,0.0,0.07,0.05,24.12,0.0,0.06,1
0.09,0.02,0.1,0.05,0.21,4.52,3.07,17.83,0.01,0.0,0.08,0.0,16.91,0.0,0.08,0
0.08,0.02,0.02,0.07,0.54,0.35,0.59,1.51,0.84,0.0,0.08,0.03,6.24,0.004,0.05,1
2.65,0.007,0.82,0.001,4.08,9.72,0.23,17.18,2.26,0.53,0.42,0.07,14.39,0.53,0.01,1
0.02,0.004,0.71,0.02,4.0,46.27,1.77,6.29,3.23,0.45,0.03,0.06,20.77,0.006,0.01,1
3.89,0.008,0.04,0.01,1.26,51.76,0.99,13.59,2.28,0.24,0.49,0.08,1.05,0.003,0.08,1
1.48,0.005,0.27,0.05,1.81,11.97,4.29,2.43,3.75,0.12,0.31,0.07,28.35,0.008,0.08,1
0.19,0.02,0.16,0.65,4.11,30.79,4.78,9.12,1.31,0.84,0.09,0.09,23.09,0.84,0.05,0
0.04,0.04,0.08,0.08,0.06,9.31,0.43,17.85,1.12,0.56,0.1,0.02,0.29,0.56,0.08,0
2.82,0.11,0.54,0.47,5.79,29.2,4.31,16.73,1.55,0.0,0.06,0.01,-0.01,0.94,0.01,1
0.25,0.07,0.78,0.09,7.62,0.26,7.97,5.59,2.32,0.23,0.21,0.09,26.84,0.004,0.05,0
0.01,0.006,0.03,0.04,1.78,49.53,2.73,1.51,1.47,0.07,0.11,0.09,18.97,0.008,0.04,0
0.01,0.005,0.78,0.05,4.01,38.03,2.77,8.99,3.38,0.63,0.05,0.02,3.73,0.63,0.06,0
3.44,0.003,0.13,0.03,4.79,40.67,5.94,9.6,2.45,0.0,0.1,0.03,12.48,0.0,0.07,0
0.09,0.001,0.12,0.02,3.74,34.64,0.9,12.69,0.55,0.8,0.16,0.02,10.67,0.8,0.06,0
0.0,0.007,0.29,0.02,4.43,11.36,3.34,13.81,0.92,0.16,0.07,0.0,17.32,0.009,0.02,1
0.1,0.01,0.03,0.04,0.05,0.18,0.62,8.14,0.88,0.83,0.09,0.08,15.9,0.83,0.02,0
0.02,0.009,0.59,0.02,3.61,15.98,4.47,8.05,1.72,0.52,0.02,0.06,14.44,0.52,0.08,0
0.04,0.009,0.3,0.01,0.63,33.24,2.58,12.75,1.74,0.78,0.4,0.03,9.2,0.78,0.04,0
4.81,0.005,0.17,0.02,0.7,2.72,0.35,7.49,2.29,0.0,0.22,0.08,26.64,0.0,0.05,1
0.04,0.02,0.07,0.1,0.11,1.83,1.04,8.75,1.87,0.0,0.03,0.06,10.38,0.002,0.05,1
0.5,0.002,0.19,0.03,5.57,3.14,2.21,1.51,1.08,0.74,0.41,0.01,19.14,0.74,0.08,1
0.07,0.07,0.1,0.04,0.1,6.41,2.43,5.74,1.74,0.0,0.04,0.05,20.99,0.51,0.03,0
0.05,0.05,0.13,0.66,2.91,1.65,4.78,5.19,1.69,0.5,0.05,0.05,14.1,0.5,0.02,1
0.1,0.0,0.06,0.08,0.09,7.61,2.43,8.58,1.51,0.0,0.09,0.09,10.41,0.0,0.05,0
1.34,0.004,0.1,0.02,4.13,28.73,6.87,16.88,1.37,0.0,0.13,0.05,12.27,0.0,0.07,1
0.11,0.04,0.5,0.78,0.52,42.68,3.61,15.95,0.57,0.59,0.05,0.05,21.58,0.59,0.02,1
3.9,0.05,0.63,0.4,6.78,1.77,2.26,7.23,0.55,0.43,0.32,0.08,11.23,0.009,0.07,0
0.61,0.002,0.77,0.03,1.94,11.16,0.98,1.99,0.59,0.23,0.47,0.01,2.41,0.001,0.03,1
0.02,0.06,0.07,0.08,0.69,0.48,0.88,14.38,0.23,0.36,0.07,0.04,12.19,0.005,0.03,0
0.08,0.08,0.03,0.03,0.02,0.1,7.93,10.04,0.65,0.0,0.05,0.09,0.17,0.0,0.01,0
2.22,0.06,0.35,0.73,6.66,36.53,7.37,10.95,1.57,0.0,0.36,0.08,28.82,0.001,0.09,0
2.14,0.07,0.57,0.7,3.59,1.39,4.4,11.73,1.02,0.82,0.35,0.08,23.89,0.82,0.01,0
4.92,0.08,0.08,0.3,2.45,34.6,4.98,0.41,1.06,0.7,0.3,0.03,26.16,0.7,0.01,0
0.13,0.02,0.46,0.08,2.72,4.5,0.68,16.65,2.26,0.09,0.09,0.02,22.19,0.008,0.02,1
0.01,0.04,0.05,0.08,0.09,2.86,1.0,1.1,0.02,0.04,0.04,0.04,0.05,0.0,0.07,0
2.16,0.009,0.29,0.01,1.02,26.8,4.45,12.61,2.63,0.0,0.19,0.07,14.73,0.0,0.07,1
0.07,0.001,0.71,0.04,5.92,33.58,3.57,12.18,2.93,0.19,0.01,0.03,22.36,0.004,0.05,0
0.58,0.007,0.53,0.02,1.13,2.75,3.81,10.9,1.71,0.98,0.18,0.05,29.19,0.98,0.02,1
0.04,0.1,0.07,0.1,0.28,0.76,0.59,9.37,0.01,0.0,0.01,0.02,16.44,0.75,0.02,0
0.08,0.004,0.54,0.03,0.0,23.58,7.03,17.62,2.54,0.31,0.08,0.03,15.18,0.001,0.0,0
0.04,0.07,0.0,0.09,0.09,8.53,0.59,1.41,0.43,0.01,0.07,0.0,0.25,0.004,0.02,1
0.08,0.09,0.07,0.06,0.03,7.38,0.62,16.0,1.37,0.0,0.06,0.01,0.28,0.0,0.08,0
0.15,0.002,0.52,0.03,7.07,7.96,2.36,14.05,0.74,0.25,0.43,0.01,27.45,0.001,0.01,1
3.88,0.005,0.2,0.05,6.1,22.66,3.71,1.99,1.02,0.0,0.0,0.03,11.07,0.0,0.07,1
